Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1998-11-06,,,6400,,,,,-50,0,
1998-11-07,,,0,,,,,0,0,
1998-11-09,,,6500,,,,,-27,0,
1998-11-10,,,6200,,,,,0,0,
1998-11-11,,,6500,,,,,0,0,
1998-11-12,,,6900,,,,,0,0,
1998-11-13,,,6800,,,,,-8,0,
1998-11-14,,,0,,,,,0,0,
1998-11-16,,,6900,,,,,0,6,
1998-11-17,,,7300,,,,,0,0,
1998-11-18,,,7500,,,,,-5,0,
1998-11-19,,,7300,,,,,0,0,
1998-11-20,,,6300,,,,,-6,0,
1998-11-21,,,0,,,,,0,0,
1998-11-23,,,6500,,,,,0,0,
1998-11-24,,,6700,,,,,0,0,
1998-11-25,,,6600,,,,,-46,0,
1998-11-26,,,6900,,,,,-3,0,
1998-11-27,,,6400,,,,,-50,0,
1998-11-28,,,0,,,,,0,0,
1998-11-30,,,6500,,,,,0,0,
1998-12-01,,,6700,,,,,0,0,
1998-12-02,,,7400,,,,,0,0,
1998-12-03,,,7300,,,,,0,0,
1998-12-04,,,7400,,,,,-2,0,
1998-12-05,,,0,,,,,0,0,
1998-12-07,,,7400,,,,,0,0,
1998-12-08,,,7500,,,,,0,0,
1998-12-09,,,7600,,,,,0,0,
1998-12-10,,,7600,,,,,0,0,
1998-12-11,,,6800,,,,,0,0,
1998-12-12,,,0,,,,,0,0,
1998-12-14,,,7100,,,,,0,0,
1998-12-15,,,8100,,,,,-1,0,
1998-12-16,,,0,,,,,0,0,
1998-12-17,,,8800,,,,,0,0,
1998-12-18,,,7800,,,,,-4,0,
1998-12-19,,,0,,,,,0,0,
1998-12-21,,,10400,,,,,0,59,
1998-12-22,,,8600,,,,,0,0,
1998-12-23,,,8900,,,,,-7,0,
1998-12-24,,,8700,,,,,0,0,
1998-12-25,,,0,,,,,0,0,
1998-12-26,,,0,,,,,0,0,
1998-12-28,,,8300,,,,,-140,0,
1998-12-29,,,7700,,,,,0,0,
